ENCFF527XHG	bed narrowPeak	conservative idr thresholded peaks	ENCSR849WCQ	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				ASH2L-human	DNA					False	2017-01-08	ENCODE				1, 2							ENCFF001TDO, ENCFF217GDM, ENCFF684QPN, ENCFF801ULT	101110	ENCODE Processing Pipeline	cf1d063b6ca6d1a88ef09326759479a7		https://www.encodeproject.org/files/ENCFF527XHG/@@download/ENCFF527XHG.bed.gz	hg19			released		mild to moderate bottlenecking, low read depth, borderline replicate concordance			
ENCFF133GHG	bed narrowPeak	conservative idr thresholded peaks	ENCSR000BQK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				ATF2-human	DNA		see document	see document		False	2012-02-29	ENCODE				1, 2							ENCFF001TDO, ENCFF071BNB, ENCFF378GKG, ENCFF599NQC	478482	ENCODE Processing Pipeline	697af8c7cb34aa9dab3e3cabf59c6eea		https://www.encodeproject.org/files/ENCFF133GHG/@@download/ENCFF133GHG.bed.gz	hg19			released		low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF969FVF	bed narrowPeak	conservative idr thresholded peaks	ENCSR014YCR	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				ATF7-human	DNA					False	2016-07-08	ENCODE				1, 2							ENCFF001TDO, ENCFF225TLM, ENCFF640EFU, ENCFF938MOR	593012	ENCODE Processing Pipeline	f04890d02a0249bd9f452aaf432cb5aa		https://www.encodeproject.org/files/ENCFF969FVF/@@download/ENCFF969FVF.bed.gz	hg19			released		mild to moderate bottlenecking, low read depth			
ENCFF482FJT	bed narrowPeak	conservative idr thresholded peaks	ENCSR000BGT	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BATF-human	DNA		see document	see document		False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF078EBJ, ENCFF521MBW, ENCFF887VZZ	477696	ENCODE Processing Pipeline	ab16892958a2724272194ef04bcd92f5		https://www.encodeproject.org/files/ENCFF482FJT/@@download/ENCFF482FJT.bed.gz	hg19			released		low read length, low read depth	biological replicates with identical biosample		
ENCFF220QMP	bed narrowPeak	conservative idr thresholded peaks	ENCSR000BHA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCL11A-human	DNA		see document	see document		False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF046PLS, ENCFF080MVF, ENCFF289FQM	276903	ENCODE Processing Pipeline	b25a27c2324b76b9f5e1fa777f7be77d		https://www.encodeproject.org/files/ENCFF220QMP/@@download/ENCFF220QMP.bed.gz	hg19			released		low read length, low read depth	biological replicates with identical biosample		
ENCFF082EYY	bed narrowPeak	conservative idr thresholded peaks	ENCSR000BNQ	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCL3-human	DNA		see document	see document		False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF017OSU, ENCFF255RCD, ENCFF306BBY	204750	ENCODE Processing Pipeline	761995c3b71e1ad89946880b68ee5762		https://www.encodeproject.org/files/ENCFF082EYY/@@download/ENCFF082EYY.bed.gz	hg19			released		borderline replicate concordance, mild to moderate bottlenecking, low read length, low read depth, moderate library complexity	biological replicates with identical biosample	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF125YZO	bed narrowPeak	conservative idr thresholded peaks	ENCSR000BJZ	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA		see document	see document		False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF590VTP, ENCFF591DYQ, ENCFF596IAY	343187	ENCODE Processing Pipeline	7a0c8568a7e4953b44459e55da64dc13		https://www.encodeproject.org/files/ENCFF125YZO/@@download/ENCFF125YZO.bed.gz	hg19			released		low read length, low read depth	biological replicates with identical biosample		
ENCFF626WXN	bed narrowPeak	conservative idr thresholded peaks	ENCSR469WII	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BMI1-human	DNA					False	2016-11-18	ENCODE				1, 2							ENCFF001TDO, ENCFF089KCX, ENCFF159QMJ, ENCFF827JSS	191063	ENCODE Processing Pipeline	1ec7ef06113c481e7e9e8992ed4ad8e6		https://www.encodeproject.org/files/ENCFF626WXN/@@download/ENCFF626WXN.bed.gz	hg19			released		mild to moderate bottlenecking, moderate library complexity			
ENCFF686JJM	bed narrowPeak	conservative idr thresholded peaks	ENCSR000DZS	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BRCA1-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF093WNM, ENCFF106CWI, ENCFF443VLF	9816	ENCODE Processing Pipeline	d0187eb5fbc839caa280c6395173d2ba		https://www.encodeproject.org/files/ENCFF686JJM/@@download/ENCFF686JJM.bed.gz	hg19			released		inconsistent target of control experiment, low read length, low read depth, borderline replicate concordance	biological replicates with identical biosample	insufficient replicate concordance	
ENCFF773EXP	bed narrowPeak	conservative idr thresholded peaks	ENCSR860UHK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				CBFB-human	DNA					False	2016-06-13	ENCODE				1, 2							ENCFF001TDO, ENCFF273ZDS, ENCFF389NMB, ENCFF838ABE	308453	ENCODE Processing Pipeline	5a747a760a5777ccaa80f3becbd61f2c		https://www.encodeproject.org/files/ENCFF773EXP/@@download/ENCFF773EXP.bed.gz	hg19			released		antibody characterized with exemption, low read depth			
