ENCFF948LKX	bed narrowPeak	conservative idr thresholded peaks	ENCSR159OCC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				3xFLAG-ATF1-human	DNA					False	2016-06-14	ENCODE				1, 2							ENCFF001TDO, ENCFF089SHU, ENCFF189NGD, ENCFF624BVW	61161	ENCODE Processing Pipeline	6bf4211ebb28bb585bfed486973ea06c		https://www.encodeproject.org/files/ENCFF948LKX/@@download/ENCFF948LKX.bed.gz	hg19			released					
ENCFF003PSH	bed narrowPeak	conservative idr thresholded peaks	ENCSR633EIC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				3xFLAG-PBX2-human	DNA					False	2016-06-14	ENCODE				1, 2							ENCFF001TDO, ENCFF539OHR, ENCFF597QZY, ENCFF906WAQ	70177	ENCODE Processing Pipeline	fe52b915cd3c6bdc7a54add5484f1b6d		https://www.encodeproject.org/files/ENCFF003PSH/@@download/ENCFF003PSH.bed.gz	hg19			released		low read depth			
ENCFF466GTG	bed narrowPeak	conservative idr thresholded peaks	ENCSR426URK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				AFF1-human	DNA					False	2018-01-26	ENCODE				1, 2							ENCFF001TDO, ENCFF306ZWZ, ENCFF413ETF, ENCFF653QLK	256550	ENCODE Processing Pipeline	e51628e78bf2f400e6b4a24cd9ee0f61		https://www.encodeproject.org/files/ENCFF466GTG/@@download/ENCFF466GTG.bed.gz	hg19			released		mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF556KWA	bed narrowPeak	conservative idr thresholded peaks	ENCSR641BSL	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				AGO1-human	DNA			SDS	formaldehyde	False	2017-02-27	ENCODE				1, 2							ENCFF001TDO, ENCFF191KLS, ENCFF790CEE, ENCFF980ENB	199829	ENCODE Processing Pipeline	5943d47018181e2692efa861635e81a1		https://www.encodeproject.org/files/ENCFF556KWA/@@download/ENCFF556KWA.bed.gz	hg19			released		mild to moderate bottlenecking, low read length, low read depth, moderate library complexity			
ENCFF991AML	bed narrowPeak	conservative idr thresholded peaks	ENCSR571BUF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARHGAP35-human	DNA					False	2018-01-26	ENCODE				1, 2							ENCFF001TDO, ENCFF113AKA, ENCFF287JMK, ENCFF565ONA	47611	ENCODE Processing Pipeline	04d109daf5f78b134fa8b736352ef20d		https://www.encodeproject.org/files/ENCFF991AML/@@download/ENCFF991AML.bed.gz	hg19			released		borderline replicate concordance	experiment not submitted to GEO	partially characterized antibody	
ENCFF676SJQ	bed narrowPeak	conservative idr thresholded peaks	ENCSR822CCM	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID1B-human	DNA					False	2016-11-30	ENCODE				1, 2							ENCFF001TDO, ENCFF118ZSL, ENCFF231SVC, ENCFF549JYE	886667	ENCODE Processing Pipeline	c3aae66271a63c709411d06c1b21a7e8		https://www.encodeproject.org/files/ENCFF676SJQ/@@download/ENCFF676SJQ.bed.gz	hg19			released		mild to moderate bottlenecking, antibody characterized with exemption, inconsistent platforms			
ENCFF056IYP	bed narrowPeak	conservative idr thresholded peaks	ENCSR491EBY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID2-human	DNA					False	2017-09-28	ENCODE				1, 2							ENCFF001TDO, ENCFF576BTO, ENCFF828CXZ, ENCFF989TPD	141885	ENCODE Processing Pipeline	4aee9a8718a074e0c121233a28679fbe		https://www.encodeproject.org/files/ENCFF056IYP/@@download/ENCFF056IYP.bed.gz	hg19			released		antibody characterized with exemption			
ENCFF974QZG	bed narrowPeak	conservative idr thresholded peaks	ENCSR000EFY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARID3A-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF378JGJ, ENCFF411VNI, ENCFF732QKX	184723	ENCODE Processing Pipeline	0945a2e7e430e667fd9ec3807819b393		https://www.encodeproject.org/files/ENCFF974QZG/@@download/ENCFF974QZG.bed.gz	hg19			released		inconsistent target of control experiment, low read length, low read depth, borderline replicate concordance	biological replicates with identical biosample	insufficient read depth	
ENCFF032MDN	bed narrowPeak	conservative idr thresholded peaks	ENCSR613NUC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARNT-human	DNA					False	2016-12-19	ENCODE				1, 2							ENCFF001TDO, ENCFF505URD, ENCFF829KFC, ENCFF848FSH	219423	ENCODE Processing Pipeline	c0ba57087eddfc09918d0b562f256a94		https://www.encodeproject.org/files/ENCFF032MDN/@@download/ENCFF032MDN.bed.gz	hg19			released					
ENCFF701QFG	bed narrowPeak	conservative idr thresholded peaks	ENCSR115BBC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ASH1L-human	DNA					False	2018-01-26	ENCODE				1, 2							ENCFF001TDO, ENCFF216JOG, ENCFF505CXS, ENCFF756HQJ	74127	ENCODE Processing Pipeline	b04de5e3fbcf71fbd03192b09bb7f09b		https://www.encodeproject.org/files/ENCFF701QFG/@@download/ENCFF701QFG.bed.gz	hg19			released		mild to moderate bottlenecking, low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF525YRJ	bed narrowPeak	conservative idr thresholded peaks	ENCSR869IUD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF2-human	DNA					False	2016-07-08	ENCODE				1, 2							ENCFF001TDO, ENCFF513RYS, ENCFF759MWN, ENCFF826QEY	529867	ENCODE Processing Pipeline	02ebd3ea34b858dd25859bc0abde0ac2		https://www.encodeproject.org/files/ENCFF525YRJ/@@download/ENCFF525YRJ.bed.gz	hg19			released		mild to moderate bottlenecking, low read depth			
ENCFF737ZGG	bed narrowPeak	conservative idr thresholded peaks	ENCSR028UIU	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF3-human	DNA					False	2016-07-08	ENCODE				1, 2							ENCFF001TDO, ENCFF034DTN, ENCFF164BVB, ENCFF263MQY	783119	ENCODE Processing Pipeline	e453b6a71d920c99675d594cd395e5b5		https://www.encodeproject.org/files/ENCFF737ZGG/@@download/ENCFF737ZGG.bed.gz	hg19			released		mild to moderate bottlenecking, inconsistent platforms, moderate library complexity	experiment not submitted to GEO		
ENCFF491DNM	bed narrowPeak	conservative idr thresholded peaks	ENCSR145TSJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF4-human	DNA					False	2018-01-26	ENCODE				1, 2							ENCFF001TDO, ENCFF548UHD, ENCFF921XMX, ENCFF970NGB	667035	ENCODE Processing Pipeline	c3c71c57616b074751381f76028d805f		https://www.encodeproject.org/files/ENCFF491DNM/@@download/ENCFF491DNM.bed.gz	hg19			released		mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF280UZU	bed narrowPeak	conservative idr thresholded peaks	ENCSR972ZBV	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ATF7-human	DNA					False	2014-07-07	ENCODE				1, 2							ENCFF001TDO, ENCFF606UFV, ENCFF611BUY, ENCFF821WIF	668756	ENCODE Processing Pipeline	29a05ae846b9d5ee885fdff240d3b342		https://www.encodeproject.org/files/ENCFF280UZU/@@download/ENCFF280UZU.bed.gz	hg19			released		mild to moderate bottlenecking, moderate library complexity			
ENCFF846TVV	bed narrowPeak	conservative idr thresholded peaks	ENCSR000EGD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BACH1-human	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF091TOR, ENCFF107CCL, ENCFF276CQA	83592	ENCODE Processing Pipeline	6f07554d56f50cb18b66639ffb6a81b1		https://www.encodeproject.org/files/ENCFF846TVV/@@download/ENCFF846TVV.bed.gz	hg19			released		inconsistent target of control experiment, low read length, mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF401FXT	bed narrowPeak	conservative idr thresholded peaks	ENCSR492LTS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-02-02	ENCODE				1, 2							ENCFF001TDO, ENCFF027UPQ, ENCFF202AHW, ENCFF662CIT	20186	ENCODE Processing Pipeline	0970677dc42cc851e920616c085ce58c		https://www.encodeproject.org/files/ENCFF401FXT/@@download/ENCFF401FXT.bed.gz	hg19			released		antibody characterized with exemption, low read depth, borderline replicate concordance			
ENCFF467YYR	bed narrowPeak	conservative idr thresholded peaks	ENCSR808AKZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BCOR-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF001TDO, ENCFF279NYK, ENCFF636VOC, ENCFF763UFC	593124	ENCODE Processing Pipeline	c17a6f033f7ecb8e5b252c35b091d271		https://www.encodeproject.org/files/ENCFF467YYR/@@download/ENCFF467YYR.bed.gz	hg19			released					
